reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,MARDI 29.01,,,,visit,,,,,,,,,,,,,OM5,OCEAN MAREE (sales),Quai de l'Industrie 214,,1070,Anderlecht,,50.83987,4.32004,"Pendant la livraison de nuit ,utiliser la clé pour ouvrier ( volet 3 )",,OM,,0:15:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,400,BIA MARA ANVERS,Maalderijstraat 1-5,,2000,ANTWERPEN,,51.22089,4.40053,,,OM,,0:05:00,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,108492,NH Hotel Arenberg,Rue d'assault 15,,1000,Bruxelles,,50.84848,4.35735,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,232081,NOORDZEE,Rue Sainte-Catherine 45,,1000,Bruxelles,,50.85028,4.34771,,,OM,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,435833,Thyssen Jan/PWC,Boulevard de woluwe 18,,1932,Woluwe-saint-lambert,,50.83806,4.43453,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,459075,PHIL NV,Kabouterstraat 7,,1190,Forest,,50.79997,4.3155599,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,NosPilifs1,NOS PILIFS,Trassersweg 347,,1120,Neder over heembeek,,50.90368,4.38881,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,KOR,TFCO KOR,Doorniksewijk 136,,8500,KORTRIJK,,50.81933,3.26903,Livraison entre 19h et 6h fermé le lundi,,TFCO,,0:15:00,,,,,,"TFCO,TFCO",,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,TFCO LEUVEN,30 Mechelsestraat,,3000,,,50.88075,4.70009,,,,,,,,,,,,,
,MARDI 29.01,,,,visit,,,,,,,,,,,,,,TFCO GENT,Fran?ois Laurentplein 35,,9000,,,51.05074,3.72846,,,,,,,,,,,,,
